<<<<<<< Updated upstream:Bazy/2016/godziny.csv
Godzina zdarzenia;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
0;300;49;390;3 828
1;265;56;336;2 627
2;221;48;285;2 142
3;242;61;288;2 066
4;279;52;381;2 454
5;702;78;891;5 289
6;1 332;147;1 540;10 709
7;1 569;101;1 954;18 645
8;1 552;101;1 868;20 864
9;1 505;109;1 809;21 581
10;1 716;118;2 028;24 800
11;1 884;169;2 238;26 614
12;1 910;116;2 354;27 982
13;2 094;127;2 575;28 312
14;2 413;168;2 940;32 238
15;2 460;175;3 092;32 917
16;2 606;217;3 139;32 995
17;2 738;239;3 225;28 648
18;2 348;222;2 705;23 845
19;1 854;172;2 210;18 587
20;1 319;156;1 532;14 287
21;1 017;150;1 271;10 979
22;821;129;1 013;8 741
23;517;66;702;5 472
Podsumowanie ca³kowite;33 664;3 026;40 766;406 622
=======
Godzina zdarzenia;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
0;300;49;390;3828
1;265;56;336;2627
2;221;48;285;2142
3;242;61;288;2066
4;279;52;381;2454
5;702;78;891;5289
6;1332;147;1540;10709
7;1569;101;1954;18645
8;1552;101;1868;20864
9;1505;109;1809;21581
10;1716;118;2028;24800
11;1884;169;2238;26614
12;1910;116;2354;27982
13;2094;127;2575;28312
14;2413;168;2940;32238
15;2460;175;3092;32917
16;2606;217;3139;32995
17;2738;239;3225;28648
18;2348;222;2705;23845
19;1854;172;2210;18587
20;1319;156;1532;14287
21;1017;150;1271;10979
22;821;129;1013;8741
23;517;66;702;5472
Podsumowanie;33664;3026;40766;406622
>>>>>>> Stashed changes:Test/Bazy/2016/Godziny.csv
